epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1015.3,0.5669,0.50197,0.93685,0.73984,0.72502,0.7866,0.64838,0.68399,0.81447,1.06691,0.000533219,0.000533219,0.000533219
91,1026.52,0.53744,0.45655,0.92216,0.83392,0.72074,0.83757,0.69373,0.66719,0.71534,1.08172,0.000532187,0.000532187,0.000532187
92,1037.47,0.54751,0.47088,0.92822,0.84252,0.72045,0.82189,0.68277,0.68013,0.83335,1.04812,0.000531156,0.000531156,0.000531156
93,1048.23,0.56137,0.47725,0.91333,0.79744,0.7554,0.82549,0.68792,0.65744,0.72729,1.03328,0.000530125,0.000530125,0.000530125
94,1059.31,0.53095,0.45134,0.92201,0.8357,0.70372,0.83634,0.69456,0.65577,0.62536,1.06877,0.000529094,0.000529094,0.000529094
95,1070.96,0.5371,0.45606,0.914,0.81837,0.76171,0.85124,0.70897,0.62528,0.67815,1.01994,0.000528062,0.000528062,0.000528062
96,1082.12,0.5499,0.463,0.9281,0.79878,0.73561,0.83635,0.68611,0.67053,0.72095,1.0429,0.000527031,0.000527031,0.000527031
97,1093.12,0.5338,0.44745,0.93345,0.7894,0.72363,0.82702,0.66844,0.69591,0.72554,1.0834,0.000526,0.000526,0.000526
98,1104.6,0.53609,0.47185,0.94829,0.74276,0.71928,0.76751,0.6404,0.63706,0.92294,1.05616,0.000524969,0.000524969,0.000524969
99,1115.39,0.57024,0.4697,0.94851,0.79576,0.65373,0.77329,0.63488,0.67823,0.97607,1.07153,0.000523937,0.000523937,0.000523937
100,1126.35,0.55071,0.46816,0.92701,0.67764,0.68718,0.73398,0.6112,0.66818,0.99753,1.10314,0.000522906,0.000522906,0.000522906
101,1137.37,0.5494,0.44347,0.92782,0.75176,0.65449,0.75281,0.62877,0.68718,0.87995,1.10608,0.000521875,0.000521875,0.000521875
102,1148.2,0.5186,0.45178,0.92581,0.82592,0.69049,0.81497,0.6793,0.67088,0.78513,1.09584,0.000520844,0.000520844,0.000520844
103,1159.03,0.52666,0.46297,0.91754,0.81325,0.71753,0.82348,0.68165,0.642,0.68568,1.0823,0.000519812,0.000519812,0.000519812
104,1170.29,0.54381,0.4731,0.93128,0.77942,0.75404,0.82343,0.6889,0.65711,0.70275,1.11259,0.000518781,0.000518781,0.000518781
105,1181.29,0.53652,0.44602,0.92744,0.77736,0.7373,0.80842,0.66657,0.68821,0.75073,1.1123,0.00051775,0.00051775,0.00051775
106,1191.85,0.55549,0.46486,0.92363,0.75384,0.72527,0.79035,0.65077,0.68984,0.85365,1.12009,0.000516719,0.000516719,0.000516719
107,1202.84,0.52723,0.43872,0.92247,0.76961,0.74671,0.82083,0.6772,0.67863,0.86504,1.08409,0.000515688,0.000515688,0.000515688
108,1214.06,0.52475,0.43698,0.90877,0.79012,0.70055,0.80295,0.66445,0.68003,0.87481,1.0766,0.000514656,0.000514656,0.000514656
109,1225.81,0.53836,0.45322,0.92569,0.82281,0.69155,0.80976,0.67586,0.69004,0.76274,1.06172,0.000513625,0.000513625,0.000513625
110,1236.59,0.52682,0.46493,0.92625,0.83768,0.69849,0.82882,0.69459,0.67005,0.75143,1.05972,0.000512594,0.000512594,0.000512594
111,1247.81,0.49468,0.41771,0.90723,0.80681,0.73572,0.81451,0.68232,0.64511,0.83205,1.02914,0.000511562,0.000511562,0.000511562
112,1259.13,0.51613,0.44158,0.92323,0.79637,0.72976,0.82619,0.68864,0.64057,0.72617,1.03782,0.000510531,0.000510531,0.000510531
113,1269.92,0.53198,0.45005,0.91386,0.79986,0.68524,0.80021,0.66906,0.64368,0.84283,1.06294,0.0005095,0.0005095,0.0005095
114,1281.28,0.49401,0.41453,0.90356,0.72551,0.67313,0.73597,0.59561,0.72362,0.91401,1.10579,0.000508469,0.000508469,0.000508469
115,1292.2,0.51554,0.44728,0.91344,0.7866,0.67606,0.78604,0.64543,0.70377,0.87047,1.10708,0.000507438,0.000507438,0.000507438
116,1303.51,0.50932,0.44313,0.90718,0.81448,0.69919,0.79725,0.66538,0.64257,0.83079,1.05894,0.000506406,0.000506406,0.000506406
117,1314.01,0.51247,0.42838,0.92279,0.80456,0.69306,0.77635,0.65243,0.58902,0.82625,0.99253,0.000505375,0.000505375,0.000505375
118,1325.61,0.52665,0.43714,0.92652,0.81286,0.71839,0.81806,0.68051,0.62237,0.66862,1.02749,0.000504344,0.000504344,0.000504344
119,1336.95,0.50449,0.44073,0.91041,0.73322,0.76057,0.81069,0.68612,0.62615,0.65354,1.03396,0.000503313,0.000503313,0.000503313
120,1347.42,0.52264,0.449,0.90709,0.82058,0.70303,0.82373,0.69166,0.6252,0.73422,1.04529,0.000502281,0.000502281,0.000502281
121,1358.22,0.52184,0.43192,0.91643,0.82185,0.73501,0.83956,0.69904,0.65683,0.78618,1.06463,0.00050125,0.00050125,0.00050125
122,1369.39,0.51024,0.40654,0.89488,0.81706,0.72602,0.82339,0.69275,0.63348,0.80038,1.0243,0.000500219,0.000500219,0.000500219
123,1379.63,0.53261,0.43377,0.91855,0.77341,0.71798,0.82172,0.67193,0.71011,0.83103,1.06912,0.000499187,0.000499187,0.000499187
124,1390.23,0.5127,0.43555,0.92114,0.74908,0.74804,0.81334,0.66679,0.75256,0.87368,1.12897,0.000498156,0.000498156,0.000498156
125,1400.59,0.50808,0.42381,0.91095,0.71954,0.77471,0.824,0.67881,0.6942,0.74571,1.07358,0.000497125,0.000497125,0.000497125
126,1412.3,0.51246,0.43361,0.90341,0.80115,0.73426,0.82391,0.69367,0.61878,0.72616,1.03207,0.000496094,0.000496094,0.000496094
127,1422.76,0.49648,0.41778,0.89806,0.74185,0.72148,0.78871,0.66135,0.60148,0.80762,1.01575,0.000495063,0.000495063,0.000495063
128,1433.18,0.47761,0.42131,0.91108,0.74613,0.70193,0.76532,0.64078,0.62234,0.81804,1.02464,0.000494031,0.000494031,0.000494031
129,1443.45,0.49411,0.43593,0.91422,0.7462,0.67741,0.75242,0.62958,0.63366,0.85211,1.04104,0.000493,0.000493,0.000493
130,1453.94,0.48233,0.41309,0.9042,0.75851,0.74602,0.80026,0.66849,0.63975,0.67286,1.02763,0.000491969,0.000491969,0.000491969
131,1464.53,0.49462,0.426,0.91783,0.80761,0.72791,0.81582,0.66943,0.62906,0.75907,1.0059,0.000490937,0.000490937,0.000490937
132,1474.18,0.50806,0.4189,0.91254,0.85548,0.6958,0.80853,0.66342,0.64899,0.79404,1.02537,0.000489906,0.000489906,0.000489906
133,1484.7,0.51032,0.42819,0.93954,0.86506,0.67777,0.82085,0.68245,0.61326,0.77062,1.00641,0.000488875,0.000488875,0.000488875
134,1500.54,0.50414,0.40605,0.90651,0.81735,0.67799,0.797,0.65647,0.63475,0.92223,1.0154,0.000487844,0.000487844,0.000487844
135,1520.08,0.5022,0.42652,0.89331,0.78861,0.69803,0.79268,0.65326,0.62085,0.84345,1.01392,0.000486812,0.000486812,0.000486812
136,1538.74,0.48912,0.4166,0.90057,0.83523,0.69767,0.81071,0.67632,0.63089,0.76625,1.02764,0.000485781,0.000485781,0.000485781
137,1548.88,0.47941,0.39278,0.89873,0.741,0.74771,0.79957,0.66938,0.63356,0.80474,1.06671,0.00048475,0.00048475,0.00048475
138,1558.83,0.48735,0.39563,0.8929,0.71458,0.72053,0.75741,0.63737,0.6791,0.97268,1.09847,0.000483719,0.000483719,0.000483719
139,1569.63,0.48583,0.39497,0.89967,0.75168,0.72466,0.78414,0.66124,0.63276,0.88215,1.06234,0.000482687,0.000482687,0.000482687
140,1580.21,0.48433,0.39335,0.89002,0.81557,0.757,0.82711,0.69104,0.62464,0.74136,1.04679,0.000481656,0.000481656,0.000481656
141,1590.12,0.46331,0.39478,0.89147,0.77046,0.78027,0.83311,0.69881,0.59205,0.71221,1.00298,0.000480625,0.000480625,0.000480625
142,1600.26,0.47703,0.40064,0.8934,0.77251,0.73728,0.81716,0.68345,0.5847,0.75118,0.99819,0.000479594,0.000479594,0.000479594
143,1610.67,0.47175,0.40345,0.90119,0.83796,0.71138,0.81591,0.68146,0.64965,0.69827,1.08046,0.000478562,0.000478562,0.000478562
144,1621.48,0.47393,0.41619,0.90962,0.83163,0.74107,0.82813,0.69007,0.68335,0.71693,1.081,0.000477531,0.000477531,0.000477531
145,1631.58,0.48437,0.39136,0.90077,0.82364,0.71816,0.83143,0.69837,0.64414,0.74643,1.06224,0.0004765,0.0004765,0.0004765
146,1642.07,0.49034,0.38873,0.89466,0.80602,0.72688,0.83619,0.69812,0.65079,0.69986,1.05601,0.000475469,0.000475469,0.000475469
147,1652.69,0.47514,0.39353,0.89975,0.82057,0.72028,0.82644,0.69056,0.65084,0.65704,1.04636,0.000474437,0.000474437,0.000474437
148,1662.99,0.48015,0.38814,0.9039,0.78874,0.72286,0.81848,0.68569,0.65731,0.72858,1.06432,0.000473406,0.000473406,0.000473406
149,1674.33,0.47654,0.38553,0.90393,0.83449,0.71749,0.83692,0.69395,0.65581,0.72892,1.0413,0.000472375,0.000472375,0.000472375
150,1684.38,0.47867,0.38748,0.89581,0.8461,0.73516,0.84493,0.69929,0.68501,0.679,1.07976,0.000471344,0.000471344,0.000471344
151,1694.9,0.47795,0.40081,0.90283,0.81997,0.7538,0.84196,0.69426,0.74412,0.68198,1.13641,0.000470312,0.000470312,0.000470312
152,1705.07,0.48111,0.37911,0.89343,0.79928,0.74894,0.83407,0.69661,0.65415,0.82939,1.04052,0.000469281,0.000469281,0.000469281
153,1715.24,0.45894,0.38621,0.88893,0.76355,0.74547,0.80645,0.67434,0.65031,0.90674,1.04822,0.00046825,0.00046825,0.00046825
154,1725.33,0.45434,0.38788,0.89481,0.77825,0.74321,0.80664,0.67479,0.65019,0.8256,1.09057,0.000467219,0.000467219,0.000467219
155,1735.76,0.46497,0.37735,0.90072,0.78424,0.70206,0.81543,0.68574,0.63642,0.89004,1.0518,0.000466188,0.000466188,0.000466188
156,1746.18,0.46286,0.38049,0.88854,0.79152,0.71779,0.80983,0.68003,0.63245,0.79348,1.04923,0.000465156,0.000465156,0.000465156
157,1756.4,0.44223,0.3758,0.89691,0.76842,0.74374,0.82144,0.68879,0.62503,0.69991,1.06882,0.000464125,0.000464125,0.000464125
158,1766.7,0.45321,0.36925,0.89173,0.82203,0.74564,0.82937,0.6918,0.61587,0.74835,1.0333,0.000463094,0.000463094,0.000463094
159,1776.62,0.4475,0.37527,0.8912,0.8257,0.76579,0.82802,0.69258,0.60902,0.72985,1.01886,0.000462063,0.000462063,0.000462063
160,1786.77,0.46161,0.36683,0.89043,0.82832,0.71366,0.82178,0.68541,0.6471,0.7453,1.03351,0.000461031,0.000461031,0.000461031
161,1797.45,0.47197,0.39624,0.90014,0.76301,0.72579,0.79864,0.66913,0.64319,0.79932,1.0252,0.00046,0.00046,0.00046
162,1807.23,0.47349,0.39083,0.88824,0.79022,0.67138,0.77673,0.64775,0.63273,0.90288,1.05567,0.000458969,0.000458969,0.000458969
163,1818.8,0.45477,0.36656,0.88258,0.81299,0.68126,0.79434,0.66182,0.66743,0.84601,1.10343,0.000457938,0.000457938,0.000457938
164,1828.69,0.46728,0.38194,0.89227,0.76432,0.72605,0.80831,0.67827,0.68465,0.8072,1.12842,0.000456906,0.000456906,0.000456906
165,1838.79,0.47063,0.3742,0.89474,0.77429,0.73582,0.80559,0.67607,0.68521,0.87725,1.14018,0.000455875,0.000455875,0.000455875
166,1849.3,0.44503,0.36145,0.89773,0.77471,0.7122,0.79597,0.66758,0.67539,0.84525,1.10767,0.000454844,0.000454844,0.000454844
167,1859.67,0.45906,0.3637,0.89175,0.73249,0.74664,0.81473,0.68161,0.64006,0.80533,1.06868,0.000453813,0.000453813,0.000453813
168,1870.51,0.47018,0.38587,0.89917,0.78288,0.74427,0.80847,0.68289,0.62476,0.87785,1.03288,0.000452781,0.000452781,0.000452781
169,1880.77,0.46987,0.37776,0.89181,0.80751,0.71741,0.80427,0.68402,0.57959,0.87316,0.99593,0.00045175,0.00045175,0.00045175
170,1891.46,0.48142,0.39111,0.89377,0.83103,0.6948,0.8042,0.6805,0.59404,0.76964,1.00272,0.000450719,0.000450719,0.000450719
171,1901.66,0.45933,0.36679,0.88461,0.85436,0.71816,0.81757,0.68623,0.60765,0.74717,0.99893,0.000449688,0.000449688,0.000449688
172,1912.55,0.46596,0.36319,0.90797,0.8436,0.75897,0.83472,0.69632,0.62426,0.71291,1.00788,0.000448656,0.000448656,0.000448656
173,1922.68,0.45707,0.37872,0.89034,0.80095,0.76653,0.83598,0.70253,0.6348,0.79106,1.05005,0.000447625,0.000447625,0.000447625
174,1933.19,0.45148,0.35537,0.8805,0.79411,0.75157,0.82743,0.68983,0.66169,0.78918,1.07628,0.000446594,0.000446594,0.000446594
175,1943.99,0.43407,0.35035,0.87763,0.78022,0.73628,0.81572,0.67581,0.63243,0.76347,1.04455,0.000445562,0.000445562,0.000445562
176,1959.84,0.44609,0.37234,0.89759,0.75608,0.75938,0.80708,0.67601,0.6344,0.79219,1.05094,0.000444531,0.000444531,0.000444531
177,1969.79,0.43609,0.35974,0.88514,0.82468,0.7134,0.81789,0.68618,0.618,0.74366,1.02604,0.0004435,0.0004435,0.0004435
178,1980.16,0.44716,0.38255,0.88996,0.75615,0.78964,0.82953,0.6802,0.66499,0.7578,1.05072,0.000442469,0.000442469,0.000442469
